tconst,titleType,primaryTitle,startYear,genres,averageRating,numVotes,weightedAverage
tt10133378,movie,Slugi wojny,2019,Thriller,5,72,360
tt10133380,movie,A Portrait on the Background of Mountains,2019,Documentary,8.7,11,95.7
tt10133388,tvSeries,Golpe de Sorte,2019,Drama,6.7,37,247.9
tt10133418,tvSeries,Planet Child,2019,Documentary,7.6,9,68.4
tt10133780,movie,Cult,2019,Horror,6.3,41,258.3
tt10133864,tvSeries,Lazor Wulf,2019,"Animation,Comedy",4.8,102,489.6
tt10135068,movie,1964: O Brasil Entre Armas e Livros,2019,Documentary,6.9,533,3677.7
tt10135288,tvSeries,Collector's Call,2019,Family,7.7,33,254.1
tt10136034,movie,Shoot the Moon,2019,Documentary,9.3,22,204.6
tt10136606,movie,S.O.N.S. (Sons of Nanay Sabel),2019,Comedy,7.1,21,149.1
tt10136880,movie,Valiyaperunnal,2019,"Drama,Thriller",6.3,121,762.3
tt10138312,movie,Fraemling,2019,"Documentary,Drama",6.6,27,178.2
tt10139982,tvSeries,HobbyKids Adventures,2019,"Animation,Comedy,Family",3,41,123
tt10140002,movie,42nd Street: The Musical,2019,Musical,7.9,136,1074.4
tt10140138,movie,Krocken,2018,"Comedy,Drama",3.7,47,173.9
tt10140532,movie,Into_nation of Big Odessa,2018,Documentary,5,11,55
tt10140592,movie,Quando as Luzes das Marquises se Apagam - a História da Cinelândia Paulistana,2018,Documentary,7.3,7,51.1
tt10140922,movie,Odessa,2019,"Comedy,Romance",6.2,339,2101.8
tt10141010,tvSeries,Code Blue: Murder,2019,Documentary,8.1,21,170.1
tt10141052,tvSeries,Borderforce USA: The Bridges,2019,Documentary,7.8,16,124.8
tt10141612,tvSeries,The Defected,2019,Crime,7.5,33,247.5
tt10141742,tvSeries,Zodiac,2019,Mystery,8.4,89,747.6
tt10141990,movie,We Shall Not Die Now,2019,"Documentary,History,War",8.5,214,1819
tt10143114,movie,Premier de la classe,2019,Comedy,5.3,102,540.6
tt10143308,movie,Tout nous sourit,2020,Comedy,5.7,7,39.9
tt10143498,movie,My Dog Stupid,2019,Comedy,6.3,532,3351.6
tt10144220,tvSeries,Gipfelstürmer - Das Berginternat,2019,Drama,4.1,8,32.8
tt10145110,tvSeries,Spectros,2020,"Fantasy,Thriller",4.4,245,1078
tt10145122,movie,Das perfekte Geheimnis,2019,"Comedy,Drama,Romance",6.8,2407,16367.6
tt10146070,movie,Skin Deep: The Battle Over Morgellons,2019,Documentary,8.4,21,176.4
tt10146162,tvSeries,Kiri and Lou,2019,Family,8.9,27,240.3
tt10146198,movie,Kerosin,2019,Drama,5.6,39,218.4
tt10146204,movie,Doberman,2019,Drama,5.2,9,46.8
tt10146728,movie,Foosballers,2019,"Comedy,Documentary,Sport",8.9,49,436.1
tt10147230,tvSeries,Skyscrapers: Engineering the Future,2019,Documentary,5.6,8,44.8
tt10147382,movie,"My People, My Country",2019,"Drama,History",6.4,1038,6643.2
tt10147542,tvSeries,The Employables,2019,Reality-TV,8.4,18,151.2
tt10147546,movie,Homecoming: A Film by Beyoncé,2019,"Documentary,Music",7.4,5289,39138.6
tt10147614,tvSeries,In for a Penny,2019,"Comedy,Game-Show",7.1,55,390.5
tt10147672,tvSeries,Commanders,2019,"Comedy,Sci-Fi",5.8,5,29
tt10147676,tvSeries,Leke,2019,"Drama,Romance",5.4,140,756
tt10147790,tvSeries,Mix: Meisei Story,2019,"Animation,Drama,Romance",7.3,34,248.2
tt10147894,tvSeries,The Jewish Enquirer,2020,Comedy,8.2,26,213.2
tt10147936,movie,School of the Damned,2019,"Horror,Thriller",3.7,80,296
tt10148028,tvSeries,Amar Depois de Amar,2019,"Drama,Mystery,Romance",6.1,15,91.5
tt10148090,tvSeries,Mentalno razgibavanje,2019,"Comedy,News,Talk-Show",8.9,100,890
tt10149080,movie,La Liga de los 5,2020,"Action,Animation,Comedy",7.8,67,522.6
tt10149506,movie,In Search of the Port Chatham Hairy Man,2019,Documentary,3.2,18,57.6
tt10149756,movie,Matchmaker Christmas,2019,"Drama,Romance",6.2,252,1562.4
tt10149868,movie,Chasing Molly,2019,"Comedy,Crime",7,2194,15358
tt10149980,tvSeries,Entangled,2019,"Drama,Romance,Thriller",6.4,39,249.6
tt10150360,tvSeries,La Reina Soy Yo,2019,Drama,7.4,30,222
tt10150586,tvSeries,Utisak nedelje,2019,"News,Talk-Show",8.8,32,281.6
tt10150924,tvSeries,1969,2019,"Documentary,History",6.9,97,669.3
tt10151054,movie,The Quarry,2020,"Crime,Mystery,Thriller",5.1,575,2932.5
tt10151056,movie,The Passengers,2019,Documentary,9.4,5,47
tt10151104,movie,Agniyogana,2019,Documentary,9.7,10,97
tt10151176,tvSeries,Afro Tanaka,2019,Comedy,6.1,9,54.9
tt10151260,movie,Sons of Rizk 2,2019,"Action,Comedy,Crime",7.2,1181,8503.2
tt10151794,tvSeries,Denton's Death Date,2019,Comedy,8.7,22,191.4
tt10151838,movie,Passion - Between Revolt and Resignation,2019,Documentary,6.1,7,42.7
tt10151866,movie,Biju Babu,2019,Action,7.6,5,38
tt10151988,tvSeries,Arthur et les enfants de la Table Ronde,2019,"Adventure,Animation",6.1,9,54.9
tt10152200,movie,Bellezonismo,2019,Comedy,1.7,116,197.2
tt10152214,movie,Heer Maan Ja,2019,"Action,Comedy,Family",5.9,157,926.3
tt10152382,tvSeries,Qing chun dou,2019,"Drama,Romance",4,6,24
tt10153510,movie,Corazón ardiente,2020,Drama,7,39,273
tt10153514,tvSeries,KGB - The Sword and the Shield,2018,Documentary,6.6,11,72.6
tt10153626,movie,A Minha Avó Trelotótó,2018,"Biography,Documentary",6,6,36
tt10153664,movie,Alva,2019,"Crime,Drama",5,27,135
tt10153730,movie,Sacavém,2018,Drama,6.3,9,56.7
tt10155342,movie,La femme de mon frère,2019,Drama,6.9,668,4609.2
tt10155470,tvSeries,Paranormal 911,2019,Horror,7,79,553
tt10155980,movie,45 días en Jarbar,2019,Documentary,8.3,12,99.6
tt10156020,movie,Holiday Heist,2019,"Crime,Drama,Romance",5.4,55,297
tt10156112,movie,"Hello, Love, Goodbye",2019,"Drama,Romance",7.4,636,4706.4
tt10156426,movie,Pororo 5: Treasure Island Adventure,2019,"Adventure,Animation,Fantasy",4.8,5,24
tt10156610,movie,Ratne Price Sa Kosara,2019,"Documentary,History,War",9,42,378
tt10157470,movie,Ganesha Meendum Santhipom,2019,Drama,2.4,7,16.8
tt10157636,movie,Ich bin Anastasia,2019,Documentary,4,6,24
tt10157810,movie,Fjols til Fjells,2020,Comedy,4.5,132,594
tt10157842,movie,Single 2,2019,Comedy,7.2,72,518.4
tt10157926,movie,The Vinyl Revival,2019,Documentary,7.3,6,43.8
tt10159074,tvSeries,The Sara Cox Show,2019,Talk-Show,3.9,15,58.5
tt10159596,tvSeries,Neel Dorja,2019,"Crime,Drama",5.9,14,82.6
tt10160362,tvSeries,Traveler,2019,Reality-TV,9,5,45
tt10160592,tvSeries,Angel's Last Mission: Love,2019,"Comedy,Drama,Fantasy",7.6,482,3663.2
tt10160686,movie,Hymn: Sarah Brightman In Concert,2018,Music,7.1,7,49.7
tt10160700,movie,Russ Taff: I Still Believe,2018,Documentary,8,28,224
tt10160742,movie,National Theater Live: Cyrano de Bergerac,2019,"Drama,Romance",8.7,140,1218
tt10160782,movie,Cirque du Soleil in Cinema: KURIOS - Cabinet of Curiosities,2018,"Fantasy,Sport",8.1,14,113.4
tt10160988,tvSeries,Food Truck Nation,2018,Reality-TV,6,5,30
tt10161238,movie,Miss & Mrs. Cops,2019,"Action,Comedy,Crime",5.7,493,2810.1
tt10161434,tvSeries,"Young, Dumb & Banged Up In The Sun",2018,Documentary,5.8,10,58
tt10161666,movie,Creating Woodstock,2019,Documentary,6.6,13,85.8
tt10162082,tvSeries,"Accident, Suicide or Murder",2019,Mystery,6.1,21,128.1
tt10162142,movie,My Comic Shop Country,2019,Documentary,8.8,18,158.4
tt10162384,tvSeries,Fuh se Fantasy,2019,Romance,6.6,86,567.6
tt10162496,tvSeries,Prop Culture,2020,Documentary,8.7,151,1313.7
tt10162730,movie,Prem Amar 2,2019,Romance,3.4,49,166.6
tt10163050,movie,Inga Can Hear,2018,Documentary,7,6,42
tt10163170,tvSeries,Midnight Misadventures with Mallika Dua,2018,Comedy,3.1,19,58.9
tt10163190,tvSeries,The Customer Is Always Right,2019,Game-Show,7.9,7,55.3
tt10163196,tvSeries,The Benza,2019,Comedy,8.7,63,548.1
